state_code,state_name
NY,New York
CA,California
IL,Illinois
FL,Florida
TX,Texas
PA,Pennsylvania
GA,Georgia
DC,District of Columbia
MA,Massachusetts
AZ,Arizona
WA,Washington
MI,Michigan
MN,Minnesota
CO,Colorado
MD,Maryland
NV,Nevada
OR,Oregon
MO,Missouri
OH,Ohio
IN,Indiana
NC,North Carolina
VA,Virginia
WI,Wisconsin
RI,Rhode Island
UT,Utah
TN,Tennessee
LA,Louisiana
KY,Kentucky
OK,Oklahoma
CT,Connecticut
NE,Nebraska
HI,Hawaii
NM,New Mexico
AL,Alabama
SC,South Carolina
KS,Kansas
IA,Iowa
AR,Arkansas
ID,Idaho
MS,Mississippi
PR,Puerto Rico
NJ,New Jersey
AK,Alaska
NH,New Hampshire
ND,North Dakota
ME,Maine
SD,South Dakota
WV,West Virginia
MT,Montana
DE,Delaware
VT,Vermont
WY,Wyoming
